Genre,UPC,MovieID,CatalogNo,Title
Comedy,043396734395,1463,S10,To Die For
Drama,025192025228,1464,DVDW2 79,To Kill A Mockingbird: Collector's Edition
Action,043396118812,1465,164,Today You Die
Action,043396056770,1466,DVDW2 84,Tokyo Raiders
Animation,012569530621,1467,DVDW2 67,Tom and Jerry Greatest Chases
Animation,053939805529,1468,DVDW2 86,Tom and Jerry The Movie
Western,717951000064,1469,BB 119 120,Tombstone
Comedy,043396061477,1470,BB 49,Tomcats
Comedy,097363313144,1471,305,Tommy Boy
Action,027616791528,1472,300,Tomorrow Never Dies
Documentary,026359372629,1473,S12,Too Hot Not To Handle
Documentary,N/A,1474,328,Top Guns Vol. 1: Fighters
Action,085392466221,1475,CDISK3 84,Torque
Comedy,043396081208,1476,347,Tortilla Soup
Action,012236124740,1477,322,Total Recall
Comedy,687797102591,1478,DVDW1 7,Totally Blonde
Animation,786936151053,1479,BO 7,Toy Story
Animation,786936151060,1480,BO 8,Toy Story 2
Crime,085392196227,1481,CDISK3 103,Training Day
Action,014381636222,1482,CDISK2 32,Traitor's Heart
Action,763843804364,1483,GP 51,Trancers
Adventure,796019790390,1484,S9,Transamerica
Action,097363455349,1485,,Transformers
Animation,603497664429,1486,B1,Transformers The Movie
Action,024543219699,1487,CDISK3 121,Transporter 2
Thriller,687797600998,1488,CDISK1 119,Trauma
Documentary,013023016491,1489,DVDW2 52,Travel the World by Train: South America
Action,025192021824,1490,CDISK3 114,Tremors
Comedy,025192029622,1491,BS2 22,Tremors 2: Aftershocks
Action,025192126420,1492,CDISK3 117,Tremors 3
Sci-Fi,031398188506,1493,S9,Triangle
Action,024543237297,1494,S8,Tristan + Isolde
Documentary,B00006FXQO ,1495,S1,Triumph of The Nerds
Action,790357940035,1496,GP 43 44,Tromeo & Juliet
Action,786936161878,1497,GP 49 50,Tron
Action,085392841127,1498,DVDW2 110,Troy
Mystery,031398701538,1499,343,True Crime
Action,6305364648,1500,T1 119,True Lies
Action,085391315827,1501,239,True Romance
Comedy,097363311270,1502,346,Truman Show
Drama,786936205794,1503,BS2 7 8,Tuck Everlasting
Action,667068997620,1504,S11,Tuxedo
Sci-Fi,025192046223,1505,T1 82 T1 89,Twelve Monkeys
Thriller,097363413844,1506,DVDW2 52,Twisted
Comedy,025192849527,1507,S2,Two for The Money
Comedy,085392341825,1508,T1 97,Two Weeks Notice
Action,085391562528,1509,PO 7 8,U.S. Marshals
Action,014381637823,1510,S5,U.S. Seals
Documentary,N/A,1511,S3,UFO Chronicles
Documentary,U434,1512,BC 1 2,UFOs 50 Years of Denial?
Documentary,033937032646,1513,CDISK1 41,UFOs and Aliens
Animation,031398187899,1514,S7,Ultimate Avengers
Action,025192137426,1515,BS3 102,Ultimate Fights From The Movies
Documentary,56775041595,1516,323,Ultimate Strike Force: The Real Top Guns
Supernatural & Paranormal,795243801421,1517,S11,Ultimate UFO Complete Evidence
Sci-Fi,043396145030,1518,S10 CDISK3 105,Ultraviolet
Thriller,786936144772,1519,DVDW2 68,Unbreakable
Documentary,826262000899,1520,CDISK2 58,Unconstitutional
Documentary,826262000493,1521,CDISK2 50,Uncovered: The Whole Truth About the Iraq War
Comedy,031398170051,1522,382,Undead
Action,601643838342,1523,DVDW2 59,Undeclared War
Action,085391366522,1524,RP 47 +,Under Siege 2
Comedy,786936238679,1525,S1,Under Tuscan Sun
Action,786936694963,1526,T1 84,Underclassman
Action,025192245022,1527,PO 16,Undercover Brother
Action,786936734300,1528,S19,Underdog
Drama,00027616921611,1529,190,Undertow
Action,043396031524,1530,S4 DVDW1 25,Underworld
Action,043396144385,1531,S9,Underworld Evolution
Drama,786936207880,1532,CDISK3 90,Undisputed
Documentary,783421265998,1533,CDISK2 89,Universe Within
Action,025192636325,1534,CDISK2 109,Unleashed
Documentary,826663911695,1535,CDISK2 57,Unprecendented: The 2000 Presidential Election
Thriller,025192245527,1536,S5,Unsaid
Documentary,706754,1537,CDISK2 64,Unsolved History: Trojan Horse
Action,1111111111,1538,S5,Untouchables
Horror,043396030916,1539,GP2 20,Urban Legend
Horror,043396113954,1540,155,Urband Legends Bloody Mary
